"var_idx","mp_freq","cd_freq","cl_freq"
1,0.94,0.72,0.76
2,0.98,0.86,0.88
3,0.9,0.84,0.82
4,0.9,0.78,0.74
5,0.94,0.76,0.8
6,0.88,0.72,0.74
7,0.94,0.76,0.76
8,0.26,0.12,0.16
9,0.26,0.2,0.16
10,0.24,0.16,0.2
11,0.04,0.12,0.08
12,0.02,0.12,0.06
13,0.08,0.08,0.1
14,0.02,0.08,0.08
15,0.08,0.14,0.12
16,0.14,0.1,0.1
17,0.04,0.1,0.12
18,0.08,0.1,0.08
19,0.16,0.16,0.16
20,0.08,0.1,0.14
21,0.18,0.1,0.14
22,0.12,0.12,0.12
23,0.2,0.2,0.2
24,0.02,0.04,0.06
25,0.06,0.16,0.1
26,0.12,0.12,0.1
27,0.14,0.2,0.2
28,0.06,0.12,0.08
29,0.08,0.14,0.14
30,0.2,0.18,0.22
31,0.08,0.16,0.12
32,0.06,0.12,0.1
33,0.06,0.04,0.14
34,0.08,0.1,0.12
35,0.06,0.06,0.1
36,0.06,0.12,0.1
37,0.06,0.06,0.08
38,0.08,0.1,0.08
39,0.1,0.14,0.16
40,0.08,0.14,0.06
41,0.12,0.12,0.08
42,0.12,0.16,0.14
43,0.08,0.1,0.12
44,0.06,0.1,0.12
45,0.04,0.08,0.08
46,0.08,0.14,0.12
47,0.1,0.1,0.14
48,0.1,0.06,0.1
49,0.08,0.14,0.1
50,0.14,0.1,0.16
51,0.1,0.16,0.1
52,0.08,0.14,0.14
53,0.04,0.12,0.1
54,0.24,0.22,0.2
55,0.12,0.18,0.16
56,0.08,0.14,0.06
57,0.1,0.12,0.08
58,0.1,0.06,0.16
59,0.08,0.12,0.1
60,0.08,0.1,0.08
61,0.06,0.14,0.06
62,0.16,0.1,0.16
63,0.2,0.16,0.12
64,0.04,0.06,0.08
65,0.02,0.12,0.06
66,0.14,0.14,0.12
67,0.18,0.26,0.22
68,0.12,0.16,0.1
69,0.2,0.2,0.2
70,0.14,0.22,0.16
71,0.12,0.12,0.12
72,0.1,0.12,0.1
73,0.08,0.1,0.12
74,0.1,0.14,0.14
75,0.1,0.1,0.1
76,0.1,0.18,0.14
77,0.04,0.08,0.06
78,0.1,0.18,0.14
79,0.12,0.14,0.16
80,0.08,0.14,0.08
81,0.1,0.1,0.12
82,0.06,0.16,0.08
83,0.18,0.26,0.2
84,0.06,0.1,0.06
85,0.1,0.14,0.14
86,0.08,0.12,0.12
87,0.18,0.26,0.24
88,0.08,0.12,0.12
89,0.1,0.16,0.1
90,0.14,0.22,0.14
91,0.12,0.1,0.12
92,0.08,0.08,0.16
93,0.02,0.1,0.1
94,0.1,0.2,0.16
95,0.06,0.18,0.1
96,0.1,0.22,0.16
97,0.16,0.28,0.12
98,0.1,0.04,0.06
99,0.04,0.1,0.12
100,0.14,0.02,0.14
